event_id,status,hurdat_storm_id,source_event_ids,source_events,minimum_track_distance_km,match_radius_km
FLORENCE_2018,matched,AL062018,OT20180913bb5397,1,6.419602457744263,464.84000000000003
HARVEY_2017,matched,AL092017,OT2017082342135e,1,13.655242797536665,427.8
IAN_2022,matched,AL092022,OT20220927223623,1,10.931086725644157,927.84
IDALIA_2023,matched,AL102023,OT202308298c1b9d,1,7.466286784013499,538.9200000000001
IDA_2021,matched,AL092021,OT20210829ae89fa;OT20210901436232,2,2.5419485902494166,613.0
IRMA_2017,matched,AL112017,OT20170909b5342f,1,14.118614937720707,816.72
ISAIAS_2020,matched,AL092020,OT2020080274aed3;OT2020080353c529,2,8.589377447018398,427.8
LAURA_2020,matched,AL132020,OT2020082643f133;OT202008288908f0,2,9.301828977932205,483.36
MATTHEW_2016,matched,AL142016,OT2016092939c5a3;OT20161005bf275a,2,31.723575399315276,538.9200000000001
MICHAEL_2018,matched,AL142018,OT201810098bb3ef,1,2.704485154732637,890.8000000000001
